Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
395790,SOCIETE AMEN SERVICE GAZ ROUTE DE L'AEROPORT KM 1.5 SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE AMEN SERVICE GAZ,SFAX
395810,SOTULUB 8 RUE NOUVELLE DELHI BIZERTE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOTULUB,BIZERTE
395830,SOCIETE MARETH DISTRIBUTION ET SERVICES AVENUE 27 OCTOBRE MERETH GABES,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE MARETH DISTRIBUTION ET SERVICES,GABES
395850,AFEF BENT EL HOUCINE AYARI ROUTE JEDILIENNE KM.2 SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AFEF AYARI,KASSERINE
395860,AFEF BENT EL HOUCINE AYARI ROUTE JEDILIENNE KM.2 SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AFEF AYARI,KASSERINE
395870,AFEF BENT EL HOUCINE AYARI ROUTE JEDILIENNE KM.2 SBIBA KASSERINE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,AFEF AYARI,KASSERINE
395880,SOCIETE EL WIFAK DE DISTRIBUTION ZONE INDUSTRILLE ENFIDHA SOUSSE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL WIFAK DE DISTRIBUTION,SOUSSE
395890,MINISTERE DE LA DEFENCE CASERNE DE OUDHNA CASERNE DE OUDHNA MOHAMADIA BEN AROUS,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,CASERNE DE OUDHNA,BEN AROUS
395900,CITE UNIVERSITAIRE IBN JAZZAR ROUTE AERODROME SFAX,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE IBN JAZZAR,SFAX
395910,SOCIETE ALUCOLOR SOCIETE ALUCOLOR Z .I MEDJEZ EL BAB,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,SOCIETE ALUCOLOR,BEJA
395920,SOCIETE EL WIFAK DE DISTRIBUTION ZONE INDUSTRILLE ENFIDHA SOUSSE,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE EL WIFAK DE DISTRIBUTION,SOUSSE
395930,HASSEN BEN MONGI SEDIRI AV. HABIB BOURGUIBA GHARDIMAOU JENDOUBA,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MONGI SEDIRI,JENDOUBA
